st_port,GROUP_CONCAT(st_dest_ip),GROUP_CONCAT(st_serv_name),GROUP_CONCAT(rule_name),GROUP_CONCAT(rule_order),GROUP_CONCAT(rule_number)
1000/tcp,"136.157.210.21,136.157.210.102","DerSphere,DerSphere","a_17523_concierge,a_17523_concierge","1088,1088","1072,1072"
10000/tcp,157.163.134.14,tcp_10000,a_cRSP,966,950
10000/udp,157.163.134.14,UDP_10000,a_cRSP,966,950
10001/tcp,139.10.144.55,tcp_10001,a_whitelist,786,770
102/tcp,"129.214.226.217,129.214.226.163,141.73.40.231,139.22.159.27,10.220.5.86","ICCP,ICCP,ICCP,ICCP,tcp_102","a_whitelisting,a_whitelisting,a_whitelist,a_Jonas,wuser_2091","805,805,631,991,320","789,789,615,975,306"
1020/tcp,158.226.103.11,tcp_1020,a_whitelist,789,773
10211/tcp,147.54.155.190,tcp_10211,a_whitelist,724,708
1024-1080/tcp,"146.254.6.55,132.186.199.166","TCP_1024_1080,TCP_1024_1080","a_12685_clearcase,a_12685_clearcase","1092,1092","1076,1076"
1024-5000/tcp,"146.254.254.35,129.73.168.93","tcp_1024-5000,tcp_1024-5000","a_whitelist,a_whitelist","801,801","785,785"
1024-65535/tcp,"139.10.144.10,147.54.155.185,140.231.85.147,139.22.144.187,139.24.234.60,149.212.77.175,146.254.32.40,158.226.192.163,129.73.105.28,139.22.144.185,149.246.170.169,141.29.16.54,149.212.124.216,132.186.27.18,10.142.200.137","tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp-high-ports,tcp_1024-65535","a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,a_white_2029,wuser_4378","886,886,886,886,886,886,886,886,886,886,886,886,886,886,437","870,870,870,870,870,870,870,870,870,870,870,870,870,870,422"
1025-5000/tcp,"161.218.188.111,161.218.81.99,161.218.81.39,161.218.81.40,161.218.188.195","tcp_1025-5000,tcp_1025-5000,tcp_1025-5000,tcp_1025-5000,tcp_1025-5000","wuser_1872,wuser_1872,wuser_1872,a_whitelist,a_whitelist","341,341,341,610,640","326,326,326,594,624"
