TDE_RBG W_01.001.1089
TDE_PDB A_01.009.1080
TDE_PDB A_01.001.1080
TDE_NBG TT_01.009.1121
TDE_NBG MA 76-82_01.001.1173
TDE_MCH WVS_01.009.1221
TDE_MCH WVS_01.001.1221
TDE_MCH WVS B_01.009.1064
TDE_MCH WVS B_01.009.1062
TDE_MCH WVS B_01.001.1064
TDE_MCH WVS B_01.001.1062
TDE_MCH P_01.009.1148
TDE_MCH P_01.001.1148
TDE_MCH P DC SAG_01.001.1005
TDE_MCH O_01.009.1268
TDE_MCH O_01.001.1268
TDE_LPZ MA_01.009.1078
TDE_LPZ MA_01.001.1078
TDE_FTH W_01.001.1030
TDE_FEL_01.009.1006
TDE_FEL_01.001.1006
TDE_ERL S GS21_01.009.1263
TDE_ERL S GS21_01.001.1263
TDE_ERL F85_01.001.1152
TDE_CHE K_01.001.1023
TDE_BLN CH_01.009.1015
TDE_BLN CH_01.001.1015
TDE_BLN AK 7_01.001.1014
