,IPs,APP ID,Protocol type port,FQDNs,Application Name
20163,141.73.46.16,1995,TCP 443,https://webservicesq.siemens.com/jonas/servlet/jonas,JONAS (GS IT ED)
19737,10.142.5.69,2372,TCP 443; TCP 1433,meu2aiopsrv001.ad003.siemens.net,Beuscherverwaltung
20142,136.157.210.87,6061,TCP 80; TCP 443,,openscape
8,139.22.192.211,1992,TCP 44386,sap07087.os.fth.sbs.de,SAP: SWP (EU1)
9,139.22.192.212,1992,TCP 44385,sap07090.os.fth.sbs.de,SAP: SWP (EU1)
10,139.22.192.213,1992,TCP 44384,sap07091.os.fth.sbs.de,SAP: SWP (EU1)
11,139.22.192.214,1992,TCP 44383,sap07095.os.fth.sbs.de,SAP: SWP (EU1)
12,139.22.192.215,1992,TCP 44382,sap07092.os.fth.sbs.de,SAP: SWP (EU1)
13,139.22.192.216,1992,TCP 44381,sap07093.os.fth.sbs.de,SAP: SWP (EU1)
18156,139.21.161.236,7423,TCP 44375,,PSDI
15,139.22.192.218,1992,TCP 44379,sap07094.os.fth.sbs.de,SAP: SWP (EU1)
21,158.226.14.71,5338,TCP 3249; TCP 3649,pt1-ci.sie.siemens.at,SAP HCM (PT1) [HU]
18885,139.23.87.6,2080,TCP 8443; TCP 443,Schnittstellenserver Open-FT Test (virt.),SAP HCM - EDP - Employee Data Provider (POP) & CPD-Tax & Construction Delegation [DE]
19,139.23.87.39,2080,TCP 3202; TCP 3601; TCP 3602; TCP 4802; TCP 443,edp-opi.siemens.com,SAP HCM - EDP - Employee Data Provider (POP) & CPD-Tax & Construction Delegation [DE]
33,139.23.15.7,2123,TCP 28000;TCP 28010;TCP 8888;TCP 8889;TCP 27006;TCP 27016,demchtcz0ka.AD007.siemens.net,Teamcenter IEC
18464,161.218.4.14,3258,TCP 4448; TCP 4447; TCP 4457; TCP 445,sn1usw24.ad001.siemens.net,Teamcenter
19378,139.25.228.178,2277,TCP 443; TCP 447,scdwebgid.siemens.net,SCD
9867,10.143.127.255,56,TCP 80; TCP 443; TCP 5432 ; TCP 1433 ; TCP 1521 ; TCP 8182; TCP 3306,*.mosaic-dev.siemens.cloud;*.mosaic-dev.siemens-energy.cloud;*.omnivise-dev.siemens-energy.cloud;*.sta-rms.siemens-energy.cloud,MyCloud (Mosaic)
20120,194.138.226.158,12366,TCP 22,,AP9_DB
10124,139.23.157.218,46,TCP 8443; TCP 8444; TCP 3389,oslo-test.energy.siemens.com;oslo.energy.siemens.com,OsLo
10140,10.140.30.76,73,TCP 5439,redshift-cluster-transformercloud.cufbtmk9tw7k.eu-central-1.redshift.amazonaws.com:5439/transformer_analytics,Redshift for Data Analytics @ Transmission'
16161,10.142.255.99,13267,TCP 443; TCP 22,api-dev.snaplogic.siemens.cloud,SnapLogic Integartion Platform
19761,136.157.210.21,17523,TCP 1433,,s_Concierge
10135,129.73.133.242,69,TCP 34216,md2prvjc.ad001.siemens.net,Seeq PDC Data Analytics Application
19348,139.25.128.70,2235,TCP 443; TCP 1521,demchdc7epx.ad007.siemens.net,Aconso EPA [CH] (application);Aconso EPA [CH] (data base)
10184,192.168.128.26,828,TCP 135; TCP 445; TCP 49152-65535; TCP 5985; TCP 5986,nlztws99102sto.ad001.siemens.net,PDMS - E F
10179,139.22.63.49,828,TCP 5985; TCP 5986,denbgat9w3osrv.ad001.siemens.net,PDMS - E F
10180,139.23.156.172,828,UDP 4545; TCP 4545; TCP 4546,sn1lic01.ad001.siemens.net,PDMS - E F
14672,139.23.156.19,2760,TCP 135; TCP 5000-5100; TCP 135; TCP 445; TCP 49152-65535,sn1t6202.ad001.siemens.net,AVEVA Global
10176,132.186.119.78,828,TCP 5985; TCP 5986; TCP 135; TCP 445; TCP 49152-65535,inggnm7oiah.ad001.siemens.net,PDMS - E F
10178,139.21.139.242,828,TCP 135; TCP 1433,sn1d5205.ad001.siemens.net,PDMS - E F
20092,132.186.199.166,12685,TCP 3389 ,,ClearCase
19710,139.22.15.196,17185,TCP 6201,DEFTHWA99N9SRV.ad901.siemens.net,s_Sedatabase
10201,146.253.34.34,451,TCP 4545; TCP 4546; TCP 744,sn1fsp04.ad001.siemens.com,PDMS_FSP
10204,147.54.158.24,919,TCP 1099; TCP 1098,SN1GHZ01;SN1GHZ02;deblnro900osrv,GHIS
20097,139.25.232.87,3422,TCP 445,\\demchdcvs263.ad007.siemens.net\GSCDX,GSCDX
10873,139.23.156.117,523,TCP 80; TCP 443; TCP 139; TCP 445,sn1t3503.ad001.siemens.net,3L PPS
18869,139.25.0.244,2028,TCP 8443,"139.25.0.245 nsc.pki-services.siemens.com
139.23.2.55 nsccesintegration-test.siemens.com
139.25.239.150 nsccesintegration.siemens.com
139.25.0.245 nsc.pki-services.siemens.com
nsc-test.pki-services.siemens.com
139.25.0.244 nsc-qa.pki-services.siemens.com",PKI NSC - Network Smartcard
19255,139.23.157.104,2320,TCP 6221,defthw99y6csrv.ad001.siement.net ,8D-Universal 
18777,139.25.128.167,1055,TCP  36692,demchdc847a.ad007.siemens.net,DOORS
10901,139.22.144.31,1326,TCP 3203; TCP 8000; TCP 8200,defthwa95lf.dc.siemens.net,SAP AQ2
17502,194.138.187.70,12366,TCP 3201,sgsgpk099ub.siemens.com.sg,AP9_SAP
19524,140.231.76.20,1936,TCP 3200,SAPSG020,SAP AP2
10906,139.22.144.251,1326,TCP 30103,defthwa9hvs.dc.siemens.net,SAP AQ2
10908,139.22.144.241,1326,TCP 8000; TCP 8200,https://ims.siemens.com:8200/sap/bc/webdynpro/sie/ssg_ims_eu_portal,SAP AQ2
10920,132.186.119.177,1152,TCP 1964,inggnm7csa.ad001.siemens.net,Microstation V7
20132,139.23.94.134,2231,TCP 30015,,SAP ERP P5E
20101,139.23.94.11,75,TCP 3200; TCP 3202,solman.siemens.net,SAP SolMan CA1
19526,140.231.76.24,1936,TCP 3203,SAPSG014,SAP AP2
10925,140.231.76.9,1977,TCP 3201;TCP 3200,sapsg013,SAP: AP0 (AAE)
20048,139.25.239.163,3010,TCP 443; TCP 80,,IAM Core
10934,139.25.231.93,1875,TCP 443; TCP 450,find-q.siemens.com,FIND
10935,139.25.231.87,1875,TCP 443:TCP 450; TCP 480; TCP 481,technosearch1.siemens.com,FIND
10950,139.23.161.43,1991,TCP 3204; TCP 3604; TCP 4804; TCP 443; TCP 444,etd-enp.eps.siemens.com,ENP
10955,161.218.188.111,1413,TCP 16000; TCP 16500-16519; TCP 22233-22236; TCP 32843; TCP 32844; TCP 808; TCP 32845; TCP 49152-65535; TCP 1025-5000; TCP 25; TCP 32846; TCP 443; TCP 10494; TCP 6201; UDP 6201; TCP 3389,sn1w7705.ad001.siemens.net;http://sn1w7705:16000;http://sn1w7705:10494,SharePoint Apps
14519,161.218.188.195,2437,TCP 443; TCP 16500-16519; TCP 22233-22236; TCP 32843; TCP 32844; TCP 808; TCP 32845; TCP 49152-65535; TCP 1025-5000; TCP 25; TCP 32846,https://matesp13.ww007.siemens.net/,Capital Investment Requests
19868,10.99.159.107,,TCP 443;TCP 3389,,s_atos-bps
14521,161.218.188.190,2437,TCP 6201; UDP 6201; TCP 3389,SN1D1613.ad001.siemens.net,Capital Investment Requests
10972,139.23.197.247,1452,TCP 3389; TCP 2598,defthwa9b1xtss.ad001.siemens.net,Picoda
14779,139.23.197.247,3157,TCP 2598,defthwa9b1xtss.ad001.siemens.net,SmartPlant Foundation
10974,139.25.128.168,1492,TCP 443; TCP 945,demchdc895a.ad007.siemens.net,Problem Tracker - SPPA-T2000
16494,139.21.152.119,1542,TCP 139; TCP 443; TCP 3389; TCP 49802; TCP 52017; TCP 52158; TCP 52175-52176; TCP 52180; TCP 52183-52186; TCP 52188; TCP 52194; TCP 52201; TCP 52205; TCP 52208; TCP 52210; TCP 52218; TCP 52222-52223; TCP 59853; TCP 59868; TCP 60222; TCP 60247; UDP 137-138; UDP 1900; UDP 56336,sn1w2207.ad001.siemens.net,ProKabel
16495,139.21.152.135,1542,TCP 139; TCP 3389; TCP 6201; TCP 50006; TCP 50218; TCP 52658; TCP 52843; TCP 52853; TCP 52908; TCP 52912; TCP 52916-52917; TCP 52919-52931; TCP 57734; TCP 62376; TCP 64056; TCP 64372; TCP 64963; TCP 64965; TCP 65157; UDP 137; UDP 138; UDP 1900; UDP 60476,sn1d4312.ad001.siemens.net,ProKabel
14381,136.157.21.130,1725,TCP 445; UDP 137,usttn020016srv.ww007.siemens.net,NGFS
14396,139.23.161.81,1993,TCP 3200-3299; TCP 3300-3399; TCP 3400-3499; TCP 3600-3699; TCP 4300-4399; TCP 4800-4899; TCP 8000-8099; TCP 443; TCP 444; TCP 445; TCP 8443; TCP 30013-39913; TCP 30015-39915; TCP 50013-59913; TCP 50014-59914; TCP 8888; TCP 8889; TCP 8100-8199; TCP 8200-8299; TCP 8300-8399; TCP 8400-8499; TCP 1100; TCP 1120; TCP 1130; TCP 1300; TCP 1320; TCP 9100; TCP 515; TCP 44000-44999; TCP 8330-8399; TCP 9000-9099; TCP 9100-9199; TCP 9400-9499; TCP 9500-9599; TCP 1500-1599; TCP 15000-15099; TCP 2400-2499; TCP 25000-25999,defthwa9mjy.os.fth.sbs.de,KSU
19800,139.22.159.27,1995,TCP 102,rzvbftba.siemens.com,JONAS Server
14403,139.23.155.141,2004,TCP 3200; TCP 3300; TCP 3400; TCP 3600,sap03856.os.fth.sbs.de,SAP ERP OPP OneP
14402,139.23.155.143,2004,TCP 3200; TCP 3220; TCP 3300; TCP 3320; TCP 3400; TCP 3420; TCP 3600; TCP 3620,sap01451.os.fth.sbs.de,SAP ERP OPP OneP
14405,139.23.155.156,2004,TCP 3242; TCP 3342; TCP 3442; TCP 3642,sap03952.os.fth.sbs.de,SAP ERP OPQ OneP
14406,139.23.155.149,2004,TCP 3241; TCP 3341; TCP 3441; TCP 3641,sap03888.os.fth.sbs.de,SAP ERP OPSOneP
14409,139.22.180.133,2004,TCP 34115,SAPHA047.os.fth.sbs.de     ,SAP ERP OPS OneP
14410,139.22.180.144,2004,TCP 34215,pkgopq4d.os.fth.sbs.de,SAP ERP OPQ OneP
14416,10.160.0.218,2030,TCP 85; TCP 81; TCP 82,nooslo1103srv.ad001.siemens.net,ProArc 6.10
14417,146.253.34.53,2030,TCP 443; TCP 81; TCP 82; TCP 83; TCP 84; TCP 85,sn1w4208.ad001.siemens.net,ProArc 6.10
14437,129.103.99.235,2172,TCP 389; TCP 636; UDP 389; UDPP 636,ad001.siemens.net,CMT (Correspondence Management Tool)
